Created file at epoch: 1136
(Timestamp: 14454) Temperature Readings: [20.00, 19.03, 31.94, 20.00, 20.97, 29.35, 19.68, 29.35], Solar Cell 1: [Voltage: 0.79V, Current: 98.28mA], Solar Cell 2: [Voltage: 3.28V, Current: 6.53mA]
(Timestamp: 14960) Temperature Readings: [20.32, 19.03, 31.61, 20.00, 20.97, 29.35, 19.68, 29.35], Solar Cell 1: [Voltage: 0.77V, Current: 95.99mA], Solar Cell 2: [Voltage: 3.37V, Current: 6.53mA]
(Timestamp: 15467) Temperature Readings: [20.00, 19.03, 31.61, 20.32, 20.97, 29.35, 19.68, 29.35], Solar Cell 1: [Voltage: 0.77V, Current: 96.64mA], Solar Cell 2: [Voltage: 3.32V, Current: 6.53mA]
(Timestamp: 15974) Temperature Readings: [20.00, 19.03, 31.61, 19.68, 20.97, 29.35, 20.00, 29.35], Solar Cell 1: [Voltage: 0.77V, Current: 96.32mA], Solar Cell 2: [Voltage: 3.36V, Current: 6.53mA]
(Timestamp: 16483) Temperature Readings: [20.00, 19.03, 31.61, 20.00, 21.29, 29.35, 19.68, 29.03], Solar Cell 1: [Voltage: 0.77V, Current: 96.64mA], Solar Cell 2: [Voltage: 3.35V, Current: 6.86mA]
(Timestamp: 16992) Temperature Readings: [20.00, 19.03, 31.61, 20.00, 21.29, 29.35, 19.68, 29.35], Solar Cell 1: [Voltage: 0.76V, Current: 95.99mA], Solar Cell 2: [Voltage: 3.38V, Current: 6.86mA]
(Timestamp: 17501) Temperature Readings: [20.00, 19.03, 31.61, 20.00, 21.29, 29.03, 19.68, 28.71], Solar Cell 1: [Voltage: 0.75V, Current: 95.99mA], Solar Cell 2: [Voltage: 3.38V, Current: 6.53mA]
(Timestamp: 18010) Temperature Readings: [20.00, 19.03, 31.29, 20.00, 21.29, 29.35, 19.68, 28.71], Solar Cell 1: [Voltage: 0.76V, Current: 95.66mA], Solar Cell 2: [Voltage: 3.39V, Current: 6.86mA]
(Timestamp: 18520) Temperature Readings: [20.32, 19.03, 31.29, 20.00, 21.29, 29.35, 20.00, 28.71], Solar Cell 1: [Voltage: 0.75V, Current: 94.68mA], Solar Cell 2: [Voltage: 3.41V, Current: 6.53mA]
(Timestamp: 19030) Temperature Readings: [20.00, 19.03, 31.61, 20.00, 21.61, 28.71, 19.68, 29.03], Solar Cell 1: [Voltage: 0.75V, Current: 95.66mA], Solar Cell 2: [Voltage: 3.39V, Current: 6.86mA]
(Timestamp: 19541) Temperature Readings: [20.32, 19.03, 31.29, 20.00, 21.29, 34.52, 20.00, 28.71], Solar Cell 1: [Voltage: 0.75V, Current: 95.01mA], Solar Cell 2: [Voltage: 3.40V, Current: 6.86mA]
(Timestamp: 20052) Temperature Readings: [20.32, 19.03, 31.29, 20.00, 21.29, 28.71, 19.68, 28.71], Solar Cell 1: [Voltage: 0.75V, Current: 95.99mA], Solar Cell 2: [Voltage: 3.39V, Current: 6.86mA]
(Timestamp: 20558) Temperature Readings: [20.32, 19.03, 31.29, 20.00, 21.61, 28.71, 19.68, 28.71], Solar Cell 1: [Voltage: 0.76V, Current: 96.32mA], Solar Cell 2: [Voltage: 3.36V, Current: 6.53mA]
(Timestamp: 21064) Temperature Readings: [20.32, 19.03, 31.29, 20.00, 21.61, 28.71, 20.00, 28.71], Solar Cell 1: [Voltage: 0.74V, Current: 95.01mA], Solar Cell 2: [Voltage: 3.39V, Current: 6.86mA]
(Timestamp: 21571) Temperature Readings: [20.32, 19.03, 31.29, 20.00, 21.61, 28.71, 19.68, 28.71], Solar Cell 1: [Voltage: 0.74V, Current: 95.34mA], Solar Cell 2: [Voltage: 3.38V, Current: 6.53mA]
(Timestamp: 22078) Temperature Readings: [20.32, 19.03, 31.29, 20.00, 21.61, 28.71, 19.68, 28.71], Solar Cell 1: [Voltage: 0.74V, Current: 94.68mA], Solar Cell 2: [Voltage: 3.25V, Current: 6.53mA]
(Timestamp: 22587) Temperature Readings: [20.32, 19.03, 31.29, 20.00, 21.61, 28.71, 19.68, 28.39], Solar Cell 1: [Voltage: 0.74V, Current: 94.36mA], Solar Cell 2: [Voltage: 3.32V, Current: 6.53mA]
(Timestamp: 23096) Temperature Readings: [20.32, 19.03, 31.29, 20.00, 21.61, 28.39, 19.68, 28.39], Solar Cell 1: [Voltage: 0.74V, Current: 95.01mA], Solar Cell 2: [Voltage: 3.29V, Current: 6.53mA]
